Rnd;ideologia_cat;isola_dummy;n;prop
1a. rodada;Esquerda;Discorda;  63;0,0586046512
1a. rodada;Esquerda;Indiferente;   7;0,0065116279
1a. rodada;Esquerda;Concorda;1005;0,9348837209
1a. rodada;Centro.Esquerda;Discorda;  30;0,0233463035
1a. rodada;Centro.Esquerda;Indiferente;   6;0,0046692607
1a. rodada;Centro.Esquerda;Concorda;1249;0,9719844358
1a. rodada;Centro;Discorda; 297;0,1019567456
1a. rodada;Centro;Indiferente;  50;0,0171644353
1a. rodada;Centro;Concorda;2566;0,8808788191
1a. rodada;Centro.Direita;Discorda; 373;0,2720641867
1a. rodada;Centro.Direita;Indiferente;  32;0,0233406273
1a. rodada;Centro.Direita;Concorda; 966;0,7045951860
1a. rodada;Direita;Discorda; 457;0,3795681063
1a. rodada;Direita;Indiferente;  34;0,0282392027
1a. rodada;Direita;Concorda; 713;0,5921926910
2a. rodada;Esquerda;Discorda;  13;0,0119705341
2a. rodada;Esquerda;Indiferente;   1;0,0009208103
2a. rodada;Esquerda;Concorda;1072;0,9871086556
2a. rodada;Centro.Esquerda;Discorda;  32;0,0225669958
2a. rodada;Centro.Esquerda;Concorda;1386;0,9774330042
2a. rodada;Centro;Discorda; 319;0,1221286371
2a. rodada;Centro;Indiferente;  80;0,0306278714
2a. rodada;Centro;Concorda;2213;0,8472434916
2a. rodada;Centro.Direita;Discorda; 260;0,2492809204
2a. rodada;Centro.Direita;Indiferente;  16;0,0153403643
2a. rodada;Centro.Direita;Concorda; 767;0,7353787152
2a. rodada;Direita;Discorda; 472;0,5673076923
2a. rodada;Direita;Indiferente;  19;0,0228365385
2a. rodada;Direita;Concorda; 341;0,4098557692
