Rnd;ideologia_cat;isola_dummy;n;prop
1a. rodada;Esquerda;Negativa; 958;0,891162791
1a. rodada;Esquerda;Neutra;  13;0,012093023
1a. rodada;Esquerda;Positiva; 104;0,096744186
1a. rodada;Centro.Esquerda;Negativa;1243;0,967315175
1a. rodada;Centro.Esquerda;Neutra;   3;0,002334630
1a. rodada;Centro.Esquerda;Positiva;  39;0,030350195
1a. rodada;Centro;Negativa;2241;0,769309990
1a. rodada;Centro;Neutra;  98;0,033642293
1a. rodada;Centro;Positiva; 574;0,197047717
1a. rodada;Centro.Direita;Negativa; 652;0,475565281
1a. rodada;Centro.Direita;Neutra;  66;0,048140044
1a. rodada;Centro.Direita;Positiva; 653;0,476294675
1a. rodada;Direita;Negativa; 368;0,305647841
1a. rodada;Direita;Neutra;  57;0,047342193
1a. rodada;Direita;Positiva; 779;0,647009967
2a. rodada;Esquerda;Negativa;1074;0,988950276
2a. rodada;Esquerda;Neutra;   5;0,004604052
2a. rodada;Esquerda;Positiva;   7;0,006445672
2a. rodada;Centro.Esquerda;Negativa;1396;0,984485190
2a. rodada;Centro.Esquerda;Neutra;  11;0,007757405
2a. rodada;Centro.Esquerda;Positiva;  11;0,007757405
2a. rodada;Centro;Negativa;2068;0,791730475
2a. rodada;Centro;Neutra; 223;0,085375191
2a. rodada;Centro;Positiva; 321;0,122894334
2a. rodada;Centro.Direita;Negativa; 657;0,629913710
2a. rodada;Centro.Direita;Neutra; 148;0,141898370
2a. rodada;Centro.Direita;Positiva; 238;0,228187919
2a. rodada;Direita;Negativa; 195;0,234375000
2a. rodada;Direita;Neutra; 117;0,140625000
2a. rodada;Direita;Positiva; 520;0,625000000
